county,office,district,party,candidate,votes
Chippewa,President,,CON,Randall Terry,0
Chippewa,President,,LIB,Chase Russell Oliver,69
Clark,President,,DEM,Kamala D. Harris,0
Clark,President,,REP,Donald J. Trump,0
Clark,President,,CON,Randall Terry,0
Clark,President,,LIB,Chase Russell Oliver,25
Columbia,President,,DEM,Kamala D. Harris,0
Columbia,President,,REP,Donald J. Trump,0
Columbia,President,,CON,Randall Terry,0
Columbia,President,,LIB,Chase Russell Oliver,67
Crawford,President,,DEM,Kamala D. Harris,0
Crawford,President,,REP,Donald J. Trump,0
Crawford,President,,CON,Randall Terry,0
Crawford,President,,LIB,Chase Russell Oliver,21
Dane,President,,DEM,Kamala D. Harris,11
Dane,President,,REP,Donald J. Trump,0
Dane,President,,CON,Randall Terry,0
Dane,President,,LIB,Chase Russell Oliver,968
Dodge,President,,DEM,Kamala D. Harris,0
Dodge,President,,REP,Donald J. Trump,0
Dodge,President,,CON,Randall Terry,0
Dodge,President,,LIB,Chase Russell Oliver,0
Door,President,,DEM,Kamala D. Harris,0
Door,President,,REP,Donald J. Trump,0
Door,President,,CON,Randall Terry,0
Door,President,,LIB,Chase Russell Oliver,43
Douglas,President,,DEM,Kamala D. Harris,0
Douglas,President,,REP,Donald J. Trump,0
Douglas,President,,CON,Randall Terry,0
Douglas,President,,LIB,Chase Russell Oliver,65
Dunn,President,,DEM,Kamala D. Harris,0
Dunn,President,,REP,Donald J. Trump,0
Dunn,President,,CON,Randall Terry,0
Dunn,President,,LIB,Chase Russell Oliver,0
Eau Claire,President,,DEM,Kamala D. Harris,0
Eau Claire,President,,REP,Donald J. Trump,0
Eau Claire,President,,CON,Randall Terry,0
Eau Claire,President,,LIB,Chase Russell Oliver,157
Florence,President,,DEM,Kamala D. Harris,0
Florence,President,,REP,Donald J. Trump,0
Florence,President,,CON,Randall Terry,0
Florence,President,,LIB,Chase Russell Oliver,0
Fond Du Lac,President,,DEM,Kamala D. Harris,0
Fond Du Lac,President,,REP,Donald J. Trump,0
Fond Du Lac,President,,CON,Randall Terry,0
Fond Du Lac,President,,LIB,Chase Russell Oliver,79
Forest,President,,DEM,Kamala D. Harris,0
Forest,President,,REP,Donald J. Trump,0
Forest,President,,CON,Randall Terry,0
Forest,President,,LIB,Chase Russell Oliver,2
Grant,President,,DEM,Kamala D. Harris,0
Grant,President,,REP,Donald J. Trump,0
Grant,President,,CON,Randall Terry,0
Grant,President,,LIB,Chase Russell Oliver,49
Green,President,,DEM,Kamala D. Harris,0
Green,President,,REP,Donald J. Trump,0
Green,President,,CON,Randall Terry,0
Green,President,,LIB,Chase Russell Oliver,50
Green Lake,President,,DEM,Kamala D. Harris,0
Green Lake,President,,REP,Donald J. Trump,0
Green Lake,President,,CON,Randall Terry,0
Green Lake,President,,LIB,Chase Russell Oliver,17
Iowa,President,,DEM,Kamala D. Harris,1
Iowa,President,,REP,Donald J. Trump,0
Iowa,President,,CON,Randall Terry,0
Iowa,President,,LIB,Chase Russell Oliver,26
Iron,President,,DEM,Kamala D. Harris,0
Iron,President,,REP,Donald J. Trump,0
Iron,President,,CON,Randall Terry,0
Iron,President,,LIB,Chase Russell Oliver,5
Jackson,President,,DEM,Kamala D. Harris,0
Jackson,President,,REP,Donald J. Trump,0
Jackson,President,,CON,Randall Terry,0
Jackson,President,,LIB,Chase Russell Oliver,0
Jefferson,President,,DEM,Kamala D. Harris,0
Jefferson,President,,REP,Donald J. Trump,0
Jefferson,President,,CON,Randall Terry,0
Jefferson,President,,LIB,Chase Russell Oliver,109
Jefferson,President,,WGR,Jill Stein,11
Jefferson,President,,NP,Claudia De la Cruz,27
Jefferson,President,,NP,Cornel West,2024
Jefferson,President,,NP,Robert F. Kennedy Jr.,11
Jefferson,President,,NP,Peter Sonski,26
Jefferson,President,,NP,Cherunda Lynn Fox,24
Juneau,President,,DEM,Kamala D. Harris,4854
Juneau,President,,REP,Donald J. Trump,9525
Juneau,President,,CON,Randall Terry,23
Juneau,President,,LIB,Chase Russell Oliver,29
Juneau,President,,WGR,Jill Stein,25
Juneau,President,,NP,Claudia De la Cruz,2
Juneau,President,,NP,Cornel West,4
Juneau,President,,NP,Robert F. Kennedy Jr.,66
Juneau,President,,NP,Peter Sonski,2
Juneau,President,,NP,Cherunda Lynn Fox,0
Kenosha,President,,DEM,Kamala D. Harris,41826
Kenosha,President,,REP,Donald J. Trump,47478
Kenosha,President,,CON,Randall Terry,99
Kenosha,President,,LIB,Chase Russell Oliver,208
Kenosha,President,,WGR,Jill Stein,302
Kenosha,President,,NP,Claudia De la Cruz,44
Kenosha,President,,NP,Cornel West,69
Kenosha,President,,NP,Robert F. Kennedy Jr.,446
Kenosha,President,,NP,Peter Sonski,9
Kenosha,President,,NP,Cherunda Lynn Fox,0
Kewaunee,President,,DEM,Kamala D. Harris,4059
Kewaunee,President,,REP,Donald J. Trump,8267
Kewaunee,President,,CON,Randall Terry,24
Kewaunee,President,,LIB,Chase Russell Oliver,35
Kewaunee,President,,WGR,Jill Stein,19
Kewaunee,President,,NP,Claudia De la Cruz,0
Kewaunee,President,,NP,Cornel West,4
Kewaunee,President,,NP,Robert F. Kennedy Jr.,58
Kewaunee,President,,NP,Peter Sonski,0
Kewaunee,President,,NP,Cherunda Lynn Fox,0
La Crosse,President,,DEM,Kamala D. Harris,39008
La Crosse,President,,REP,Donald J. Trump,32247
La Crosse,President,,CON,Randall Terry,88
La Crosse,President,,LIB,Chase Russell Oliver,218
La Crosse,President,,WGR,Jill Stein,199
La Crosse,President,,NP,Claudia De la Cruz,29
La Crosse,President,,NP,Cornel West,36
La Crosse,President,,NP,Robert F. Kennedy Jr.,417
La Crosse,President,,NP,Peter Sonski,19
La Crosse,President,,NP,Cherunda Lynn Fox,0
Lafayette,President,,DEM,Kamala D. Harris,3469
Lafayette,President,,REP,Donald J. Trump,5256
Lafayette,President,,CON,Randall Terry,10
Lafayette,President,,LIB,Chase Russell Oliver,17
Lafayette,President,,WGR,Jill Stein,21
Lafayette,President,,NP,Claudia De la Cruz,3
Lafayette,President,,NP,Cornel West,2
Lafayette,President,,NP,Robert F. Kennedy Jr.,54
Lafayette,President,,NP,Peter Sonski,0
Lafayette,President,,NP,Cherunda Lynn Fox,0
Langlade,President,,DEM,Kamala D. Harris,3746
Langlade,President,,REP,Donald J. Trump,7782
Langlade,President,,CON,Randall Terry,14
Langlade,President,,LIB,Chase Russell Oliver,26
Langlade,President,,WGR,Jill Stein,33
Langlade,President,,NP,Claudia De la Cruz,2
Langlade,President,,NP,Cornel West,5
Langlade,President,,NP,Robert F. Kennedy Jr.,51
Langlade,President,,NP,Peter Sonski,0
Langlade,President,,NP,Cherunda Lynn Fox,0
Lincoln,President,,DEM,Kamala D. Harris,6306
Lincoln,President,,REP,Donald J. Trump,10633
Lincoln,President,,CON,Randall Terry,33
Lincoln,President,,LIB,Chase Russell Oliver,36
Lincoln,President,,WGR,Jill Stein,44
Lincoln,President,,NP,Claudia De la Cruz,9
Lincoln,President,,NP,Cornel West,8
Lincoln,President,,NP,Robert F. Kennedy Jr.,119
Lincoln,President,,NP,Peter Sonski,0
Lincoln,President,,NP,Cherunda Lynn Fox,0
Manitowoc,President,,DEM,Kamala D. Harris,17399
Manitowoc,President,,REP,Donald J. Trump,28200
Manitowoc,President,,CON,Randall Terry,85
Manitowoc,President,,LIB,Chase Russell Oliver,151
Manitowoc,President,,WGR,Jill Stein,99
Manitowoc,President,,NP,Claudia De la Cruz,8
Manitowoc,President,,NP,Cornel West,27
Manitowoc,President,,NP,Robert F. Kennedy Jr.,266
Manitowoc,President,,NP,Peter Sonski,3
Manitowoc,President,,NP,Cherunda Lynn Fox,0
Marathon,President,,DEM,Kamala D. Harris,31529
Marathon,President,,REP,Donald J. Trump,46213
Marathon,President,,CON,Randall Terry,93
Marathon,President,,LIB,Chase Russell Oliver,266
Marathon,President,,WGR,Jill Stein,180
Marathon,President,,NP,Claudia De la Cruz,19
Marathon,President,,NP,Cornel West,26
Marathon,President,,NP,Robert F. Kennedy Jr.,349
Marathon,President,,NP,Peter Sonski,4
Marathon,President,,NP,Cherunda Lynn Fox,0
Marinette,President,,DEM,Kamala D. Harris,7415
Marinette,President,,REP,Donald J. Trump,16670
Marinette,President,,CON,Randall Terry,33
Marinette,President,,LIB,Chase Russell Oliver,60
Marinette,President,,WGR,Jill Stein,45
Marinette,President,,NP,Claudia De la Cruz,6
Marinette,President,,NP,Cornel West,7
Marinette,President,,NP,Robert F. Kennedy Jr.,128
Marinette,President,,NP,Peter Sonski,8
Marinette,President,,NP,Cherunda Lynn Fox,0
Marquette,President,,DEM,Kamala D. Harris,3252
Marquette,President,,REP,Donald J. Trump,6041
Marquette,President,,CON,Randall Terry,18
Marquette,President,,LIB,Chase Russell Oliver,21
Marquette,President,,WGR,Jill Stein,16
Marquette,President,,NP,Claudia De la Cruz,1
Marquette,President,,NP,Cornel West,2
Marquette,President,,NP,Robert F. Kennedy Jr.,55
Marquette,President,,NP,Peter Sonski,0
Marquette,President,,NP,Cherunda Lynn Fox,0
Menominee,President,,DEM,Kamala D. Harris,1266
Menominee,President,,REP,Donald J. Trump,296
Menominee,President,,CON,Randall Terry,0
Menominee,President,,LIB,Chase Russell Oliver,1
Menominee,President,,WGR,Jill Stein,2
Menominee,President,,NP,Claudia De la Cruz,0
Menominee,President,,NP,Cornel West,0
Menominee,President,,NP,Robert F. Kennedy Jr.,7
Menominee,President,,NP,Peter Sonski,0
Menominee,President,,NP,Cherunda Lynn Fox,0
Milwaukee,President,,DEM,Kamala D. Harris,316292
Milwaukee,President,,REP,Donald J. Trump,138022
Milwaukee,President,,CON,Randall Terry,442
